               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12905,            0.062581,            0.033537,            0.016236,            0.043478,           0.0038166,          0.00067034,             0.12599,             0.04028,            0.036288,              0.0001,              0.0001,              0.0991
                   1,             0.12197,            0.050757,            0.030392,            0.030183,            0.041919,           0.0045321,          0.00085926,             0.12708,            0.034921,            0.035911,          0.00020995,          0.00020995,             0.09811
                   2,             0.11459,             0.05387,            0.027071,            0.072563,            0.097826,            0.046044,           0.0075559,             0.12091,            0.035773,            0.033393,          0.00031972,          0.00031972,             0.09712
                   3,             0.10793,            0.057473,            0.024759,            0.055501,              0.1087,            0.024337,           0.0034245,             0.10995,            0.040391,            0.030084,          0.00042914,          0.00042914,            0.096129
                   4,              0.1015,             0.06164,            0.021418,             0.57734,             0.24863,            0.047032,           0.0069254,             0.10576,            0.038669,            0.027188,          0.00053808,          0.00053808,            0.095138
                   5,            0.094926,            0.059798,            0.020365,             0.61208,            0.076087,            0.047259,           0.0080255,            0.093141,            0.045157,            0.022609,           0.0006464,           0.0006464,            0.094146
                   6,            0.089728,            0.058716,            0.018828,             0.63248,            0.086221,            0.071013,            0.015938,            0.087215,            0.046423,            0.020855,          0.00075394,          0.00075394,            0.093154
                   7,            0.084937,            0.057786,            0.017951,             0.27244,             0.45013,             0.16225,            0.042037,             0.07957,            0.047205,            0.018371,          0.00086057,          0.00086057,            0.092161
                   8,            0.080032,            0.058096,            0.016078,             0.60947,                0.25,             0.15963,            0.041793,            0.076875,            0.044629,            0.017207,          0.00096615,          0.00096615,            0.091166
                   9,            0.076822,              0.0559,            0.014036,             0.13545,             0.77685,             0.17287,            0.035038,            0.074505,            0.041155,            0.016328,           0.0010705,           0.0010705,            0.090171
                  10,            0.073883,            0.051151,             0.01375,             0.35781,             0.68414,             0.39889,             0.12052,            0.068537,            0.042321,            0.015172,           0.0011736,           0.0011736,            0.089174
                  11,            0.070976,            0.051387,            0.013255,             0.27242,             0.70716,             0.30922,             0.08498,            0.069148,            0.040382,            0.014301,           0.0012751,           0.0012751,            0.088175
                  12,            0.068201,            0.051367,            0.012341,             0.38217,             0.73895,             0.55253,             0.15891,            0.060715,            0.041141,            0.013321,           0.0013751,           0.0013751,            0.087175
                  13,            0.066752,             0.04486,            0.011841,             0.28664,              0.8051,             0.46917,             0.12855,            0.060696,            0.036128,            0.011615,           0.0014734,           0.0014734,            0.086173
                  14,            0.064561,            0.046988,            0.010989,             0.34755,             0.70716,              0.5395,             0.14173,            0.058273,            0.038868,            0.012334,           0.0015698,           0.0015698,             0.08517
                  15,            0.072623,             0.05023,           0.0098428,             0.54156,             0.62421,             0.52172,             0.12827,            0.078325,             0.03259,            0.012389,           0.0016642,           0.0016642,            0.084164
                  16,            0.074399,            0.047439,             0.01004,              0.5477,             0.65102,              0.5896,             0.17491,            0.063304,            0.032357,            0.011598,           0.0017565,           0.0017565,            0.083156
                  17,            0.068378,            0.044105,            0.010781,             0.42078,             0.78736,             0.48694,             0.13633,            0.068079,            0.034993,           0.0097629,           0.0018465,           0.0018465,            0.082147
                  18,            0.069168,            0.048815,           0.0096896,             0.67485,               0.789,             0.68669,              0.1857,            0.056863,            0.032339,           0.0093227,           0.0019343,           0.0019343,            0.081134
                  19,            0.068687,            0.042896,           0.0092148,             0.58999,             0.55818,             0.51765,             0.15889,            0.060951,             0.03046,           0.0097473,           0.0020196,           0.0020196,             0.08012
                  20,            0.066806,            0.044956,           0.0092074,             0.49307,             0.73018,             0.63473,             0.20204,            0.055252,            0.031265,           0.0098332,           0.0021023,           0.0021023,            0.079102
                  21,            0.071682,            0.047787,           0.0085345,             0.34516,             0.70265,             0.46966,             0.14499,             0.05425,            0.031043,           0.0093336,           0.0021824,           0.0021824,            0.078082
                  22,            0.063258,            0.045822,           0.0086705,             0.65314,             0.68442,             0.64232,             0.20527,             0.05541,            0.029415,           0.0077854,           0.0022598,           0.0022598,             0.07706
                  23,            0.063888,            0.044054,           0.0083382,             0.68569,             0.73338,             0.73676,             0.26787,            0.058971,             0.02927,           0.0058756,           0.0023343,           0.0023343,            0.076034
                  24,            0.064235,            0.041872,           0.0080109,             0.56013,             0.86158,             0.70287,             0.23541,            0.049419,            0.028981,           0.0053372,           0.0024058,           0.0024058,            0.075006
                  25,            0.063772,            0.041216,            0.008279,             0.43006,             0.67452,             0.49481,             0.15789,            0.056501,            0.029558,           0.0044211,           0.0024744,           0.0024744,            0.073974
                  26,            0.060963,            0.039861,           0.0079201,             0.63814,             0.76279,             0.70347,             0.26396,            0.048225,            0.030476,           0.0040283,           0.0025398,           0.0025398,             0.07294
                  27,            0.059695,            0.041564,           0.0074764,             0.66169,             0.65688,             0.70819,             0.24644,            0.051569,            0.029039,            0.003942,           0.0026021,           0.0026021,            0.071902
                  28,             0.06014,            0.039829,           0.0075709,             0.62263,             0.72466,             0.71992,             0.30822,            0.047891,             0.02876,           0.0034203,           0.0026612,           0.0026612,            0.070861
                  29,            0.059917,            0.040728,           0.0074939,             0.68081,             0.70077,             0.67663,             0.19956,            0.048505,            0.028791,           0.0033284,           0.0027169,           0.0027169,            0.069817
